"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 05 15:22:33 CST 2021","Tue Jan 05 15:22:36 CST 2021","3293","TestCase","test_01_test_camera","Testcamera01","","","设备连接、断开设备",""
"passed","Tue Jan 05 15:37:55 CST 2021","Tue Jan 05 15:37:58 CST 2021","3322","TestCase","test_01_test_camera05","TestCamera05","","","各种模式",""
"passed","Tue Jan 05 15:26:46 CST 2021","Tue Jan 05 15:26:50 CST 2021","3928","TestCase","test_01_test_camera02","TestCamera02","","","各种模式",""
"passed","Tue Jan 05 15:40:37 CST 2021","Tue Jan 05 15:40:40 CST 2021","2910","TestCase","test_01_test_camera06","TestCamera06","","","选择后点赞或者删除",""
"passed","Tue Jan 05 15:37:18 CST 2021","Tue Jan 05 15:37:21 CST 2021","3328","TestCase","test_01_test_camera05","TestCamera05","","","各种模式",""
"passed","Tue Jan 05 15:25:10 CST 2021","Tue Jan 05 15:25:25 CST 2021","15040","TestCase","test_01_test_camera02","TestCamera02","","","美颜",""
"passed","Tue Jan 05 15:40:16 CST 2021","Tue Jan 05 15:40:18 CST 2021","2279","TestCase","test_01_test_camera06","TestCamera06","","","选择后点赞或者删除",""
"passed","Tue Jan 05 15:19:46 CST 2021","Tue Jan 05 15:19:48 CST 2021","2288","TestCase","test_01_test_camera","Testcamera01","","","关闭、方格、对角+方格",""
"passed","Tue Jan 05 15:20:10 CST 2021","Tue Jan 05 15:20:13 CST 2021","2895","TestCase","test_01_test_camera","Testcamera01","","","自动、晴天、阴天、白炽灯、荧光灯",""
"passed","Tue Jan 05 15:25:33 CST 2021","Tue Jan 05 15:25:36 CST 2021","2274","TestCase","test_01_test_camera02","TestCamera02","","","常亮、关闭",""
"passed","Tue Jan 05 15:41:13 CST 2021","Tue Jan 05 15:41:21 CST 2021","8188","TestCase","test_01_test_camera06","TestCamera06","","","编辑、删除",""
"passed","Tue Jan 05 15:27:27 CST 2021","Tue Jan 05 15:27:30 CST 2021","3273","TestCase","test_01_test_camera02","TestCamera02","","","各种模式",""
"passed","Tue Jan 05 15:32:31 CST 2021","Tue Jan 05 15:32:33 CST 2021","2294","TestCase","test_01_test_camera04","TestCamera04","","","自动、晴天、阴天、白炽灯、荧光灯",""
"passed","Tue Jan 05 15:18:51 CST 2021","Tue Jan 05 15:19:07 CST 2021","16042","TestCase","test_01_test_camera","Testcamera01","","","3、5、7、off",""
"passed","Tue Jan 05 15:28:01 CST 2021","Tue Jan 05 15:28:04 CST 2021","3311","TestCase","test_01_test_camera02","TestCamera02","","","设备断开、连接",""
"passed","Tue Jan 05 15:32:52 CST 2021","Tue Jan 05 15:32:56 CST 2021","3917","TestCase","test_01_test_camera04","TestCamera04","","","各种模式",""
"passed","Tue Jan 05 15:36:24 CST 2021","Tue Jan 05 15:36:26 CST 2021","2282","TestCase","test_01_test_camera05","TestCamera05","","","关闭、方格、对角+方格",""
"passed","Tue Jan 05 15:32:07 CST 2021","Tue Jan 05 15:32:10 CST 2021","2293","TestCase","test_01_test_camera04","TestCamera04","","","关闭、方格、对角+方格",""
"passed","Tue Jan 05 15:31:58 CST 2021","Tue Jan 05 15:32:00 CST 2021","2291","TestCase","test_01_test_camera04","TestCamera04","","","常亮、关闭",""
"passed","Tue Jan 05 15:26:04 CST 2021","Tue Jan 05 15:26:07 CST 2021","2327","TestCase","test_01_test_camera02","TestCamera02","","","自动、晴天、阴天、白炽灯、荧光灯",""
